# <s> 	 error of <s> 	 H 	 count
5.5	2.17945	0	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.01	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.02	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.03	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.04	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.05	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.06	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.07	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.08	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.09	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.1	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.11	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.12	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.13	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.14	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.15	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.16	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.17	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.18	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.19	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.2	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.21	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.22	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.23	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.24	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.25	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.26	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.27	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.28	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.29	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.3	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.31	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.32	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.33	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.34	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.35	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.36	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.37	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.38	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.39	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.4	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.41	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.42	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.43	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.44	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.45	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.46	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.47	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.48	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.49	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.5	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.51	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.52	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.53	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.54	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.55	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.56	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.57	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.58	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.59	816
# <s> 	 error of <s> 	 H 	 count
1.51471	0.52839	0.6	816
