# <s> 	 error of <s> 	 H 	 count
7.93606	5.85778	0	8008
# <s> 	 error of <s> 	 H 	 count
3.57967	3.26324	0.01	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.02	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.03	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.04	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.05	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.06	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.07	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.08	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.09	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.1	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.11	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.12	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.13	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.14	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.15	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.16	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.17	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.18	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.19	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.2	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.21	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.22	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.23	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.24	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.25	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.26	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.27	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.28	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.29	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.3	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.31	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.32	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.33	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.34	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.35	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.36	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.37	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.38	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.39	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.4	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.41	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.42	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.43	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.44	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.45	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.46	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.47	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.48	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.49	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.5	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.51	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.52	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.53	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.54	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.55	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.56	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.57	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.58	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.59	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.6	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.61	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.62	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.63	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.64	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.65	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.66	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.67	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.68	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.69	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.7	8008
# <s> 	 error of <s> 	 H 	 count
1.49301	0.827959	0.71	8008
# <s> 	 error of <s> 	 H 	 count
